	C_1_8_siA1	C_1_8_siA2	C_1_8_siA3	C_1_8_siC1	C_1_8_siC2	C_1_8_siC3	C_4_2_siA1	C_4_2_siA2	C_4_2_siA3	C_4_2_siC1	C_4_2_siC2	C_4_2_siC3	C_Ctrl_siA1	C_Ctrl_siA2	C_Ctrl_siA3	C_Ctrl_siC1	C_Ctrl_siC2	C_Ctrl_siC3	P_siA1	P_siA2	P_siA3	P_siC1	P_siC2	P_siC3
ENSG00000186868.18	4.91561133850311	4.90367624186078	6.00018586333554	5.62080074516884	4.63752708122705	5.19230786815277	6.85331125207774	6.77887309553007	7.79526935566832	9.4462609642602	7.02569370827788	6.8622940846711	8.45757784556193	9.68221274235317	9.00707302233984	9.41313601346135	10.0938975610349	10.2664444294081	0.627920737843422	0.867020900353685	0.4730576519114	0.23201133337304	0.775703646488176	0.374060047783241
ENSG00000186871.7	5.43146688752907	5.32159427295796	5.75461536871527	4.85073768524105	4.93949625754593	5.40521356683813	4.12963770611475	4.36038151382847	4.73518343606331	5.11658090912029	5.3640901898906	5.71722556466345	5.24700132399051	6.08019150568439	4.96296233799304	5.67898104665984	5.61441649176654	5.65324400737125	5.92041740217142	4.62409529068298	5.15062172861079	6.48812606412151	5.82910775142045	5.38032305816359
ENSG00000186881.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186886.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186889.10	5.0052814047955	5.38233454215333	5.27649098938529	5.46332732863951	4.5889623492594	4.6354172660662	7.19851198121778	6.02623474340985	7.15479748595869	6.45588513376041	6.65348489107823	7.89257489709273	4.54187046665701	4.59147671451035	4.51034685311215	3.45489849291836	4.92132267935809	4.11581356968368	3.32420151651114	3.00420668954014	2.85722785865626	2.46461874386557	2.62511973477001	2.79565936103073
ENSG00000186891.14	0.216906378103077	0.153886076280511	0.11812099459216	0.309894969244373	0.105558097348808	0.136094999610576	0	0	0.118373759004245	0.188842316528829	0.145512894584172	0	0.227709609702439	0.153722782466906	0.136721672392234	0.149412164989904	0.492255323329611	0.232428294993047	0	0	0	0	0	0
ENSG00000186895.4	0	0	0.112120498211084	0.220696889104073	0.300744459665639	0	0	0.114805912573182	0	0.334928753147053	0	0.353792911695954	0	0.101760463077196	0.10206814109475	0	0.0872942320476999	0	0	0	0.0901867808990908	0	0	0
ENSG00000186897.5	0.139896447750855	0.278625551778535	0.189884194346342	0.225369053055928	0.0341839401916586	0.262485383194968	0.263143542569572	0.195476814951215	0.190945240177866	0.226563323894206	0.195889652225332	0.320369325971123	0.413359037414454	0.592540268042189	0.657743201671528	0.178681402989007	0.531539605060281	0.455213930739555	0.0696904466208298	0.214949689555037	0.0934873437015144	0.076569600810545	0	0.0362105511586321
ENSG00000186907.8	1.77841723509864	1.38221808490342	1.47164275440596	1.72307934740966	2.34224362807883	2.95178968766975	1.33642567293707	1.4070728783675	1.3743356601565	1.59381875167851	1.38533859935255	1.2563714814507	2.67100307735604	3.08864724377636	3.1941718971455	3.00880683028298	3.05135205312429	5.16909264048605	2.64538264488546	1.85192194436111	2.04301090467556	3.32201694817169	2.72558302026424	3.00807498001264
ENSG00000186908.15	12.3110804122352	10.5034218194265	8.73036800112036	7.50782662473222	7.43372032701779	8.40153845252049	9.02364342639716	9.68544934892769	9.32428935276358	8.89185522440299	9.05336255155558	8.84122237663341	7.49948639853412	7.56133759734257	8.35714333282778	8.56512716828646	9.35094197666739	7.29684117648303	4.26070149664706	3.68270768661701	5.10933848861654	4.20636130481174	4.45553009666812	4.66289183670705
ENSG00000186910.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0518720988469306	0	0	0	0	0	0
ENSG00000186912.7	0	0.070990867964788	0	0	0	0	0	0	0.077845263578295	0	0	0	0	0	0	0	0	0	0	0.036509781007887	0	0	0	0
ENSG00000186918.14	9.06576179138595	10.450584183978	8.908637490844	9.47591479780868	11.3016434753757	9.05901701847062	6.80786027072621	7.24675357211062	6.31842410097478	7.39537133169626	8.01884021212026	7.18956010290682	6.30831370904392	8.27295511412608	6.37770713709997	8.2172707189966	9.78583680860046	10.4178752749361	10.1715346270077	11.4027589843755	14.4457587772154	15.1568411334295	17.8766317925719	19.8380840080777
ENSG00000186919.13	1.50199135911373	3.33331662364774	2.9310592043376	4.59440455283242	3.42132617741074	4.10282761057781	0.418694067877946	0.925867355144949	2.52812462564947	0.597969124393901	2.21976667495179	3.06599351627818	1.05810330891354	0.275781364317124	2.9691284786559	1.21818984765888	1.12651435356923	0.649887632042009	5.7170313846942	2.77652704995122	3.12711123789403	2.12322264215861	1.42437066329308	1.49593893138873
ENSG00000186924.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186925.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186930.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186943.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186951.17	6.8640291930097	5.72929329667263	7.47067457672295	7.71731763283652	6.11019264386017	6.35137767352726	4.86824220751232	6.80934775351852	4.91086130328403	8.73669527780794	6.46862932711177	6.45299904758987	6.24781382293601	10.9813924993779	8.01128045501652	6.18049576251669	6.58142152711654	7.6587245497169	3.20852643843307	2.08557022641751	2.1152186536156	2.62182350299952	1.69252628400718	3.5273086244609
ENSG00000186952.15	0.0221671224836942	0	0.37303928815145	0.395880808586621	0.111059396574231	0.187140793519162	0	0.782282116850377	0	0	0	0	0.240320319835785	0.221751119593041	0.571219465491735	0.42896851814231	0.688662231361996	0	0	0	0	0	0	0
ENSG00000186960.14	0	0	0	0	0	0	0	0	0	0	0	0.011393828182701	0	0.172697369642702	0	0.0837290297028087	0	0	0.191744050093009	0	0	0.106018926658897	0.19450070419834	0.301408886345026
ENSG00000186965.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
