baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0036108	121.162900953191	-4.19025366138397	0.431443896429544	90.3579031618161	1.9875015806115e-21	4.24060257307543e-19	1.56068078863178	40.0411785750551	FBgn0036108	Cuticular protein 67Fa1	protein_coding	39223
FBgn0037714	183.507839704726	3.14664915874272	0.316305454955748	90.3428841710059	2.00264584324696e-21	4.24060257307543e-19	28.7341864632118	4.37189436348558	FBgn0037714		protein_coding	41156
FBgn0035926	1027.64818545719	2.08907568606834	0.212409794974695	90.1497138445538	2.20803312233888e-21	4.56147330395373e-19	642.036036842675	227.012415766369	FBgn0035926	Acyl-CoA binding protein 5	protein_coding	39005
FBgn0043783	1111.90569187055	2.69255432568604	0.268885742246101	89.3080849208857	3.37875508276809e-21	6.81382275024897e-19	67.0795323878666	15.6348525156481	FBgn0043783		protein_coding	40406
FBgn0052667	463.68391327099	2.36256474275721	0.241252060663387	88.7262643649666	4.53405202006983e-21	8.93102804883522e-19	257.262128823661	65.7793294332049	FBgn0052667	short spindle 7	protein_coding	318146
FBgn0012034	9846.86141680169	2.49188586081833	0.253313962088446	86.786133878716	1.20914321777393e-20	2.32760069421481e-18	258.643671731811	63.8007401191428	FBgn0012034	Acetyl Coenzyme A synthase	protein_coding	40348
FBgn0033395	97.4810738233768	8.40978529094683	1.16031044947335	85.9785220574001	1.81900591561791e-20	3.4237733567297e-18	3.66276343932672	0.0282951487484123	FBgn0033395	Cytochrome P450 4p2	protein_coding	35946
FBgn0031466	107.445506878974	4.45549120219397	0.463058847717936	84.3050910710503	4.24021894897127e-20	7.80753358647536e-18	12.0009325145535	0.770533639132946	FBgn0031466		protein_coding	33479
FBgn0030593	2052.74944784133	2.69782508288939	0.279629682770806	82.4434908462447	1.08734771938596e-19	1.95953940068066e-17	68.3736609874033	16.464362528645	FBgn0030593		protein_coding	32419
FBgn0011556	2576.4090585833	2.67154332268556	0.277267103125299	82.3203165162311	1.15726452931555e-19	2.04208970068807e-17	228.13626701431	52.4222609117936	FBgn0011556	zetaTrypsin	protein_coding	36216
FBgn0033297	949.558143445732	-2.93412675418536	0.303583725325889	81.9499290963055	1.39578318743605e-19	2.41271093828231e-17	5.87885428573893	54.3666528648695	FBgn0033297	Maltase A8	protein_coding	35830
FBgn0033600	1096.18612904491	3.1156512840814	0.319464103055036	81.7979641824085	1.50733740085303e-19	2.55342955704504e-17	150.561599908087	24.5060764880218	FBgn0033600	Cuticular protein 47Ec	protein_coding	36191
FBgn0039316	239.557447728389	7.2421948884228	0.723297751894705	81.0248907780998	2.2289249846359e-19	3.70176365095413e-17	8.484184353668	0.14837952820933	FBgn0039316		protein_coding	43056
FBgn0003961	1188.01127796784	4.39068259151401	0.428148276666952	80.8555790482123	2.42831303606521e-19	3.9553483491293e-17	93.8780246286161	5.09396012118069	FBgn0003961	Urate oxidase	protein_coding	34060
FBgn0030594	1290.75206650248	-2.62112776531714	0.279500200772699	78.742807048333	7.0745854359598e-19	1.13059884231282e-16	6.60766397218458	53.2166491223796	FBgn0030594	fezzik	protein_coding	32420
FBgn0031649	170.545413364323	-3.54513553122396	0.381371657569313	78.4059668077159	8.38983654963192e-19	1.31596139954412e-16	0.484697453422216	5.89465324971732	FBgn0031649	hoepel2	protein_coding	33700
FBgn0029969	1680.98945380898	2.01444484869339	0.22082387963004	77.6007229181268	1.26123948165078e-18	1.9423088017422e-16	81.7107657752891	28.2058130164626	FBgn0029969	Acetyl-CoA acetyltransferase 1	protein_coding	31695
